611.01,17.592
552.77,9.1302
851.86,13.662
700.32,11.854
585.98,6.8233
838.29,11.886
747.64,4.3483
857.81,12
648.62,6.5987
505.46,3.8166
571.07,3.2522
1416.4,15.505
573.4,3.1551
840.84,7.2258
564.07,0.71618
537.94,3.5129
636.54,5.3048
513.01,0.56077
642.96,3.6518
707.08,5.3893
618.91,3.1386
2027,21.767
549.01,4.263
632.61,5.1875
556.49,3.0825
1894.5,22.638
1282.8,13.501
1095.7,7.0467
1317.6,14.692
2220.3,24.147
525.24,-1.22
658.94,5.9966
924.82,12.134
589.18,1.8495
821.11,6.5426
793.34,4.5623
809.59,4.1164
560.63,3.3928
1283.6,10.117
635.34,5.4974
540.69,0.55657
688.25,3.9115
1170.8,5.3854
577.37,2.4406
782.47,6.7318
709.31,1.0463
507.02,5.1337
580.14,1.844
1170,8.0043
554.16,1.0179
754.02,6.7504
530.77,1.8396
742.39,4.2885
760.31,4.9981
633.28,1.4233
635.89,-1.4211
627.42,2.4756
563.97,4.6042
931.02,3.9624
945.36,5.4141
882.54,5.1694
517.93,-0.74279
2127.9,17.929
1490.8,12.054
1895.9,17.054
721.82,4.8852
829.51,5.7442
1023.6,7.7754
549.94,1.0173
2034.1,20.992
1013.6,6.6799
733.45,4.0259
600.62,1.2784
722.59,3.3411
502.69,-2.6807
654.79,0.29678
753.86,3.8845
503.65,5.7014
1027.4,6.7526
510.77,2.0576
572.92,0.47953
518.84,0.20421
635.57,0.67861
976.87,7.5435
651.59,5.3436
851.72,4.2415
918.02,6.7981
600.2,0.92695
552.04,0.152
505.94,2.8214
570.77,1.8451
763.66,4.2959
587.07,7.2029
530.54,1.9869
829.34,0.14454
1339.4,9.0551
543.69,0.61705
